"TRS_DT","LOC_NO","DIV_NO","net_sales","net_units","pa_sales","pa_units","pam_sales","pam_units","total_markdowns","avg_ticket_amt","avg_ticket_units","lease_sales","lease_units","kenmore_net_sale","craftsman_net_sale","diehard_net_sale","kenmore_net_units","craftsman_net_units","diehard_net_units","pos_source_system","trs_dt_sk_id","gross_profit","reject_reason"
"2017-01-30","6901","20","5.9900000000000002","1","0","0","0","0","0","0","0","0","0","5.9900000000000002","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location6901"
"2017-01-30","6901","22","628.99000000000001","2","0","0","599","1","300.99000000000001","599","1","0","0","29.989999999999998","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location6901"
"2017-01-30","6901","26","-454.95999999999998","-4","0","0","-399.99000000000001","-1","-136","-399.99000000000001","-1","0","0","-429.98000000000002","0","0","-2","0","0","T","20170130","","Unable to find POS in dim.location6901"
"2017-01-30","9299","6","699.99000000000001","1","0","0","699.99000000000001","1","600","0","0","0","0","0","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location9299"
"2017-01-30","9299","20","109.88","1","0","0","0","0","110.11","0","0","0","0","109.88","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location9299"
"2017-01-30","9299","46","-997.49000000000001","-1","0","0","-997.49000000000001","-1","-700","-997.49000000000001","-1","0","0","-997.49000000000001","0","0","-1","0","0","T","20170130","","Unable to find POS in dim.location9299"
"2017-01-30","9333","9","188.97999999999999","2","0","0","0","0","121","0","0","0","0","0","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location9333"
"2017-01-30","9333","22","534.98000000000002","2","0","0","534.98000000000002","2","564.95000000000005","534.98000000000002","2","0","0","0","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location9333"
"2017-01-30","9333","26","-599.98000000000002","-2","0","0","-599.98000000000002","-2","-400","-599.98000000000002","-2","0","0","0","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location9333"
"2017-01-30","9333","46","2909.9299999999998","7","0","0","2909.9299999999998","7","3040","2909.9299999999998","7","0","0","0","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location9333"
"2017-01-30","9935","20","109.88","1","0","0","0","0","110.11","0","0","0","0","109.88","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location9935"
"2017-01-30","9935","22","689.99000000000001","1","0","0","689.99000000000001","1","290","689.99000000000001","1","0","0","689.99000000000001","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location9935"
"2017-01-30","9935","26","1124.95","4","0","0","1055.98","2","544","1055.98","2","0","0","68.969999999999999","0","0","2","0","0","T","20170130","","Unable to find POS in dim.location9935"
"2017-01-30","9935","46","99.980000000000004","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location9935"
"2017-01-30","9937","20","35.969999999999999","3","0","0","0","0","0","0","0","0","0","35.969999999999999","0","0","3","0","0","T","20170130","","Unable to find POS in dim.location9937"
"2017-01-30","9937","26","1068.95","4","0","0","999.98000000000002","2","400","999.98000000000002","2","0","0","68.969999999999999","0","0","2","0","0","T","20170130","","Unable to find POS in dim.location9937"
"2017-01-30","9937","46","-130","0","0","0","-130","0","0","-130","0","0","0","-130","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location9937"
"2017-01-30","9958","20","362.95999999999998","4","0","0","314.99000000000001","1","35","0","0","0","0","47.969999999999999","0","0","3","0","0","T","20170130","","Unable to find POS in dim.location9958"
"2017-01-30","9958","22","2050.3200000000002","7","0","0","1969.1700000000001","3","1303.5999999999999","1969.1700000000001","3","0","0","2050.3200000000002","0","0","7","0","0","T","20170130","","Unable to find POS in dim.location9958"
"2017-01-30","9958","26","4825.46","15","533.97000000000003","3","4372.9499999999998","7","2167.3600000000001","4642.9499999999998","7","0","0","517.50999999999999","0","0","7","0","0","T","20170130","","Unable to find POS in dim.location9958"
"2017-01-30","9958","46","5590.04","9","199.99000000000001","1","5364.2200000000003","4","5222.8400000000001","5364.2200000000003","4","0","0","2990.7200000000003","0","0","4","0","0","T","20170130","","Unable to find POS in dim.location9958"
"2017-01-31","1741","9","149.99000000000001","1","0","0","0","0","150","0","0","0","0","0","0","0","0","0","0","T","20170131","","Unable to find POS in dim.location1741"
"2017-01-31","1741","26","1329.45","4","199.99000000000001","1","1267.48","2","1322.5","1267.48","2","0","0","711.96000000000004","0","0","3","0","0","T","20170131","","Unable to find POS in dim.location1741"
"2017-01-31","1741","46","1034.99","1","0","0","1034.99","1","1065","1034.99","1","0","0","1034.99","0","0","1","0","0","T","20170131","","Unable to find POS in dim.location1741"
