"TRS_DT","LOC_NO","net_sales","net_units","pa_sales","pa_units","pam_sales","pam_units","total_markdowns","avg_ticket_amt","avg_ticket_units","lease_sales","lease_units","spp_sales","spp_merch_sales","bulk_sales","bulk_units","sears_credit_sales","other_credit_sales","kenmore_net_sale","craftsman_net_sale","diehard_net_sale","kenmore_net_units","craftsman_net_units","diehard_net_units","pos_source_system","trs_dt_sk_id","reject_reason"
"2017-06-05","2559","1814.5900000000001","3","0","0","1271.98","2","602.38","692","0","0","0","0","0","0","0","2590.04","1871.9000000000001","1268.6100000000001","0","0","2","0","0","T","20170605","Unable to find POS in dim.location2559"
"2017-06-05","3792","1115.9100000000001","8","296.98000000000002","2","959.98000000000002","2","240","959.98000000000002","2","0","0","0","0","0","0","0","1589.3599999999999","39.979999999999997","0","0","1","0","0","T","20170605","Unable to find POS in dim.location3792"
"2017-06-05","4973","4255.8699999999999","13","726.95000000000005","5","3779.9099999999999","9","2395","3079.9400000000001","6","0","0","0","0","0","0","4650.2600000000002","4894.04","3670.8899999999994","0","0","10","0","0","T","20170605","Unable to find POS in dim.location4973"
"2017-06-05","5056","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.5","25","0","0","1","0","0","T","20170605","Unable to find POS in dim.location5056"
"2017-06-05","5064","1831.3400000000001","1","149.99000000000001","1","1734.4900000000002","1","-210.37","1734.4900000000002","1","1282.5699999999999","2","0","-176.12","0","0","805.48000000000002","1450.3399999999999","-1391.1099999999999","0","0","-2","0","0","T","20170605","Unable to find POS in dim.location5064"
"2017-06-05","6901","1526.53","10","521.52999999999997","2","1011.49","1","419.35000000000002","1263.48","2","0","0","0","204.99000000000001","0","0","2158.1199999999999","2393.3800000000001","228.86000000000001","0","0","7","0","0","T","20170605","Unable to find POS in dim.location6901"
"2017-06-05","9299","1050.25","7","152.99000000000001","1","985.31999999999994","1","1249.29","985.31999999999994","1","0","0","0","0","0","0","649.99000000000001","1581.25","844.94000000000005","0","0","4","0","0","T","20170605","Unable to find POS in dim.location9299"
"2017-06-05","9333","5259.6299999999992","15","0","0","5141.9499999999989","9","5270.2200000000003","5141.9499999999989","9","0","0","0","321.93000000000001","0","0","-254.97","-500.44999999999999","1469.97","0","0","3","0","0","T","20170605","Unable to find POS in dim.location9333"
"2017-06-05","9935","2145.52","4","0","0","2167.3699999999999","3","584.42000000000007","1946.98","2","0","0","0","0","0","0","886.42999999999995","2386.4499999999998","2264.8299999999999","0","0","5","0","0","T","20170605","Unable to find POS in dim.location9935"
"2017-06-05","9937","5985.3400000000001","15","0","0","5915.7299999999996","8","2618.5100000000002","5535.7399999999998","7","758.61000000000001","1","0","25.989999999999998","0","0","265.83999999999997","7200.3900000000003","1517.9200000000001","0","0","8","0","0","T","20170605","Unable to find POS in dim.location9937"
"2017-06-05","9958","3636.3800000000001","15","209.99000000000001","1","3109.5900000000001","7","2365.4400000000001","3109.5900000000001","7","0","0","0","0","0","0","490.24000000000001","3749.4200000000001","3109.7799999999997","0","0","11","0","0","T","20170605","Unable to find POS in dim.location9958"
"2017-06-06","1741","1728.8500000000001","5","269.99000000000001","1","1350.8900000000001","2","444.08999999999997","1350.8900000000001","2","0","0","0","299.99000000000001","0","0","0","2000.8","342.97000000000003","0","0","2","0","0","T","20170606","Unable to find POS in dim.location1741"
"2017-06-06","1928","1780.9799999999998","1","230.00999999999999","-1","1399.9999999999998","0","1485","1250.0099999999998","-1","0","0","0","0","0","0","0","1576.1300000000001","1165.0399999999997","0","0","-3","0","0","T","20170606","Unable to find POS in dim.location1928"
"2017-06-06","1936","6729.3699999999999","14","1402.95","5","6683.0199999999995","11","4385.5","6135.8299999999999","9","0","0","0","0","0","0","3684.6599999999999","8677.7000000000007","3791.1100000000001","0","0","9","0","0","T","20170606","Unable to find POS in dim.location1936"
"2017-06-06","1937","1477.1600000000001","6","0","0","688.99000000000001","2","1322.79","0","0","0","0","0","243.19","0","0","57.579999999999998","1166.01","474.97000000000003","0","0","3","0","0","T","20170606","Unable to find POS in dim.location1937"
"2017-06-06","2559","1995.3199999999999","6","0","0","1360.4200000000001","3","1034.1199999999999","1360.4200000000001","3","0","0","0","0","0","0","739.64999999999998","1846.46","189.47000000000003","0","0","3","0","0","T","20170606","Unable to find POS in dim.location2559"
"2017-06-06","3792","1490.97","0","-296.98000000000002","-2","1404.99","1","945","1404.99","1","0","0","0","0","0","0","-21.550000000000001","1371.0899999999999","1936.9200000000001","0","0","6","0","0","T","20170606","Unable to find POS in dim.location3792"
"2017-06-06","4973","4687.79","13","129.99000000000001","1","4247.8199999999997","7","2942.1100000000001","3057.8499999999999","4","0","0","0","0","0","0","2338.9899999999998","5176.1300000000001","2839.9499999999998","239.99000000000001","0","5","1","0","T","20170606","Unable to find POS in dim.location4973"
"2017-06-06","5056","718.98000000000002","2","0","0","370.49000000000001","1","405.00999999999999","370.49000000000001","1","0","0","0","0","0","0","334.44999999999999","455.43000000000001","-54.980000000000004","303.49000000000001","0","-2","1","0","T","20170606","Unable to find POS in dim.location5056"
"2017-06-06","5064","1581.9000000000001","9","10","0","1422.96","4","577","1422.96","4","0","0","0","0","0","0","980.42999999999995","1825.8","148.94000000000005","0","0","5","0","0","T","20170606","Unable to find POS in dim.location5064"
"2017-06-06","6901","3547.8600000000001","16","350.98000000000002","2","2899.96","4","1690","2899.96","4","0","0","0","0","0","0","1764.78","4003.3899999999999","3078.9099999999999","0","0","9","0","0","T","20170606","Unable to find POS in dim.location6901"
"2017-06-06","9299","4874.8699999999999","11","294.98000000000002","2","3354.96","4","3075.02","3354.96","4","0","0","0","0","0","0","752.23000000000002","3071.29","3374.9399999999996","0","0","6","0","0","T","20170606","Unable to find POS in dim.location9299"
"2017-06-06","9333","1384.9400000000001","9","269.99000000000001","1","954.99000000000001","3","794.97000000000003","954.99000000000001","3","0","0","0","229.94999999999999","0","0","0","0","879.98000000000002","0","0","2","0","0","T","20170606","Unable to find POS in dim.location9333"
"2017-06-06","9935","-685.01999999999998","1","0","0","-809.00999999999999","0","-935.99000000000001","-999","-1","0","0","0","0","0","0","-1093.3","-741.52999999999997","-674.03999999999996","0","0","2","0","0","T","20170606","Unable to find POS in dim.location9935"
"2017-06-06","9937","2369.3600000000001","13","125.98","2","2090.4400000000001","6","1674.5","2090.4400000000001","6","0","0","0","0","0","0","818.14999999999998","2909.7600000000002","2199.3900000000003","0","0","10","0","0","T","20170606","Unable to find POS in dim.location9937"
"2017-06-06","9958","1934.8600000000001","5","519.97000000000003","3","2282.2200000000003","5","1346.0799999999999","1832.24","3","0","0","0","0","0","0","0","2775.7800000000002","892.29999999999995","-100","0","2","0","0","T","20170606","Unable to find POS in dim.location9958"
"2017-06-07","1741","6652.8099999999995","13","289.99000000000001","1","6513.8899999999994","7","1751.04","6120.0100000000002","5","0","0","0","0","0","0","0","7600.25","5512.96","0","0","9","0","0","T","20170607","Unable to find POS in dim.location1741"
"2017-06-07","1803","2615.9899999999998","8","368.98000000000002","2","2523.46","4","1163.9200000000001","2523.46","4","0","0","0","0","0","0","0","1944.4100000000001","1292.45","0","0","4","0","0","T","20170607","Unable to find POS in dim.location1803"
"2017-06-07","1928","83.980000000000004","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.909999999999997","83.980000000000004","0","0","2","0","0","T","20170607","Unable to find POS in dim.location1928"
"2017-06-07","1936","1543.8500000000001","14","0","0","989.98000000000002","2","339","799.99000000000001","1","0","0","64.5","170.99000000000001","0","0","0","1615.3900000000001","461.91000000000003","0","0","9","0","0","T","20170607","Unable to find POS in dim.location1936"
"2017-06-07","1937","4964.8899999999994","8","521.98000000000002","2","4899.96","4","3180","4899.96","4","0","0","0","0","0","0","932","5947.6400000000003","4942.9300000000003","0","0","6","0","0","T","20170607","Unable to find POS in dim.location1937"
"2017-06-07","2559","796.00999999999999","6","0","0","617.05999999999995","2","452.92000000000002","617.05999999999995","2","0","0","0","0","0","0","0","705.16999999999996","696.02999999999997","0","0","4","0","0","T","20170607","Unable to find POS in dim.location2559"
"2017-06-07","3792","2275.8500000000004","9","39.990000000000002","1","2155.9000000000001","5","682.00999999999999","1589.9000000000001","4","0","0","0","0","0","0","0","2341.75","878.94000000000005","0","0","5","0","0","T","20170607","Unable to find POS in dim.location3792"
"2017-06-07","4973","1925.7700000000002","8","259.98000000000002","2","1729.96","4","1075.1500000000001","1729.96","4","1227.45","3","0","99.989999999999995","0","0","454.70999999999998","2540.73","1587.96","159.82999999999998","0","4","2","0","T","20170607","Unable to find POS in dim.location4973"
"2017-06-07","5056","308.87","2","0","0","289.88","1","360.11000000000001","289.88","1","0","0","0","0","0","0","0","437.85000000000002","308.87","0","0","2","0","0","T","20170607","Unable to find POS in dim.location5056"
"2017-06-07","5064","-158.06","7","129.99000000000001","1","-169.00999999999999","1","230","-169.00999999999999","1","0","0","0","0","0","0","759.62","-216.88999999999999","548.97000000000003","0","0","4","0","0","T","20170607","Unable to find POS in dim.location5064"
"2017-06-07","6901","1781.9300000000001","6","0","0","999.99000000000001","1","4499.9400000000005","999.99000000000001","1","0","0","0","0","0","0","905.99000000000001","1559.5","994.99000000000001","0","0","1","0","0","T","20170607","Unable to find POS in dim.location6901"
"2017-06-07","9299","6846.8500000000004","11","329.99000000000001","1","6719.9400000000005","6","3880","6719.9400000000005","6","773.17999999999995","2","0","0","0","0","4646.8000000000002","8047.6000000000004","2624.9200000000001","0","0","6","0","0","T","20170607","Unable to find POS in dim.location9299"
