Location Store,Location,Format,Ownership Type,Name (no hierarchy),POS Number,EIS Number,Region,District,District Manager Name,City,State/Province,Zip,Address 1,Address 2,Latitude,Longitude,Open Date,Change of Owner / Takeover Date,Franchisee / Dealer,Location Type,Issue Date,Expiration Date
"Mexico, MO (5870)","Mexico, MO",HTS,Owner,5870,3442,5870,9042,216,,Mexico,MO,65265,2988 South Clark,,39.145558,-91.889443,,7/17/2016,,Retail,,
"Moberly, MO (5722)","Moberly, MO",HTS,Owner,5722,3240,5722,9039,385,,Moberly,MO,65270,643 N Morley,,39.425913,-92.434212,,7/22/2008,,Retail,,
"Sedalia, MO (5796)","Sedalia, MO",HTS,Owner,5796,3332,5796,9029,385,,Sedalia,MO,65301,3117 West Broadway,,38.706864,-93.267373,,11/16/2014,,Retail,,
"Butler, MO (5805)","Butler, MO",HTS,Owner,5805,3340,5805,9039,385,,Butler,MO,64730,104 South Sunset,,38.256008,-94.35316,,1/5/2014,,Retail,,
"Stockton, MO (7700)","Stockton, MO",HTS,Owner,7700,7700,7700,9029,385,,Stockton,MO,65785,580 W Highway 32,,37.700286,-93.802904,,8/31/2014,,Retail,,
"Fulton, MO (7781)","Fulton, MO",HTS,Owner,7781,7781,7781,9042,216,,Fulton,MO,65251,540 Commons Drive,,38.829431,-91.959346,,,,Retail,,
"Dekalb, IL (5498)","Dekalb, IL",HTS,Company,5498,3085,5498,9042,393,,Dekalb,IL,60115,2359 Sycamore Road,,41.953395,-88.726816,,,,Retail,,
"Burlington, WI (3181)","Burlington, WI",HTS,Owner,3181,3181,3181,9042,393,,Burlington,WI,53105,1757 Milwaukee Ave A,,42.697088,-88.260281,,4/2/2017,,Retail,,
"Morris, IL (3450)","Morris, IL",HTS,Owner,3450,3450,3450,9042,393,,Morris,IL,60450,721 W Bedford Road Highway 6,,41.371303,-88.433677,,1/3/2016,,Retail,,
"Champaign, IL (4877)","Champaign, IL",HTS,Owner,4877,4877,4877,9042,393,,Champaign,IL,61820,11 E Marketview Drive,,40.137455,-88.242252,,1/3/2016,,Retail,,
"Watertown, WI (5494)","Watertown, WI",HTS,Owner,5494,3080,5494,9042,393,,Watertown,WI,53094,1720 South Church Street,,43.17257,-88.732938,,4/2/2017,,Retail,,
"Sparta, WI (3562)","Sparta, WI",HTS,Owner,3562,3562,3562,9042,119,,Sparta,WI,54656,520 S Black River,,43.940007,-90.821477,,,,Retail,,
"Tomah, WI (7279)","Tomah, WI",HTS,Owner,7279,7270,7279,9042,119,,Tomah,WI,54660,1114 N. Superior Ave,,44.002403,-90.507393,,,,Retail,,
"Beaver Dam, WI (3250)","Beaver Dam, WI",HTS,Owner,3250,3250,3250,9042,393,,Beaver Dam,WI,53916,1645 N Spring Street,,43.474408,-88.823511,,3/1/2015,,Retail,,
"Ottawa, IL (5542)","Ottawa, IL",HTS,Owner,5542,3142,5542,9042,393,,Ottawa,IL,61350,4103 Holiday Lane,,41.38022,-88.837663,,1/28/2002,,Retail,,
"Marshfield, WI (5709)","Marshfield, WI",HTS,Owner,5709,3221,5709,9042,119,,Marshfield,WI,54449,1810 North Central,,44.685956,-90.160595,,2/8/2015,,Retail,,
"Richland Center, WI (5721)","Richland Center, WI",HTS,Owner,5721,3239,5721,9042,393,,Richland Center,WI,53581,1515 Bohmann Drive,,43.320884,-90.377748,,,,Retail,,
"Viroqua, WI (7692)","Viroqua, WI",HTS,Owner,7692,7692,7692,9042,393,,Viroqua,WI,54665,1220 N. Main Street,,43.574138,-90.887334,,,,Retail,,
"Reedsburg, WI (7952)","Reedsburg, WI",HTS,Owner,7952,7952,7952,9042,393,,Reedsburg,WI,53959,55 Viking Drive,,43.53362,-89.985562,,,,Retail,,
"Sumrall, MS (1606)","Sumrall, MS",HTS,Owner,1606,1606,1606,9040,211,,Sumrall,MS,39482,923 Hwy 42,,31.409999,-89.565022,,,,Retail,,
"McComb, MS (1778)","McComb, MS",HTS,Owner,1778,1778,1778,9040,211,,McComb,MS,39648,1211 D Delaware Avenue,,31.246462,-90.466682,,8/28/2016,,Retail,,
"Bayou Vista, LA (5751)","Bayou Vista, LA",HTS,Owner,5751,3277,5751,9040,211,,Bayou Vista,LA,70380,837 US Highway 90 E,,29.68127,-91.27262,,8/13/2017,,Retail,,
"Opelousas, LA (7271)","Opelousas, LA",HTS,Owner,7271,3963,7271,9040,211,,Opelousas,LA,70570,901 Creswell Lane,,30.520553,-92.075583,,4/16/2017,,Retail,,
"Bogalusa, LA (3297)","Bogalusa, LA",HTS,Owner,3297,3297,3297,9040,211,,Bogalusa,LA,70427,412 Avenue B,,30.778395,-89.865118,,,,Retail,,
"Brookhaven, MS (3397)","Brookhaven, MS",HTS,Owner,3397,3397,3397,9040,211,,Brookhaven,MS,39601,222 Highway 51 North,,31.5846,-90.455406,,5/29/2005,,Retail,,
"Eunice, LA (3526)","Eunice, LA",HTS,Owner,3526,3526,3526,9040,211,,Eunice,LA,70535,340 East Laurel,,30.495274,-92.411648,,3/16/2004,,Retail,,
"Natchez, MS (3565)","Natchez, MS",HTS,Owner,3565,3565,3565,9040,211,,Natchez,MS,39120,31 South Sergeant Prentiss Drive,#3,31.533473,-91.38136,,2/22/2015,,Retail,,
"Mansura, LA (3567)","Mansura, LA",HTS,Owner,3567,3567,3567,9040,211,,Mansura,LA,71350,168 Golden Rod,,31.097467,-92.063171,,9/13/2015,,Retail,,
"Jennings, LA (3843)","Jennings, LA",HTS,Owner,3843,3843,3843,9040,211,,Jennings,LA,70546,1226 Elton Road,,30.232951,-92.661823,,12/29/2013,,Retail,,
"Picayune, MS (7291)","Picayune, MS",HTS,Owner,7291,3976,7291,9040,211,,Picayune,MS,39466,781 Memorial Boulevard,Space 3,30.518932,-89.67408,,3/2/2014,,Retail,,
"Luling, LA (7954)","Luling, LA",HTS,Owner,7954,7954,7954,9040,211,,Luling,LA,70070,12715 Highway 90,,29.907459,-90.363468,,,,Retail,,
"Baker, LA (9209)","Baker, LA",HTS,Owner,9209,9209,9209,9040,211,,Baker,LA,70714,252 Main Street,,30.57715,-91.167849,,9/1/2016,,Retail,,
"Milan, TN (3915)","Milan, TN",HTS,Owner,3915,3915,3915,9042,212,,Milan,TN,38358,6034 South First Street,,35.907406,-88.751281,,,,Retail,,
"Oxford, MS (5792)","Oxford, MS",HTS,Owner,5792,3327,5792,9040,212,,Oxford,MS,38655,707 North Lamar,,34.374481,-89.51686,,7/3/2016,,Retail,,
"Olive Branch, MS (7614)","Olive Branch, MS",HTS,Owner,7614,7614,7614,9040,212,,Olive Branch,MS,38654,7501 Goodman Road,,34.960518,-89.855949,,9/10/2014,,Retail,,
"Paris, TN (3186)","Paris, TN",HTS,Owner,3186,3186,3186,9040,212,,Paris,TN,38242,1060 Mineral Wells Avenue,,36.285529,-88.310502,,5/28/2017,,Retail,,
"Murray, KY (5486)","Murray, KY",HTS,Owner,5486,3066,5486,9040,212,,Murray,KY,42071,912 South 12th Street,,36.598548,-88.316756,,5/28/2017,,Retail,,
"Harriman, TN (3576)","Harriman, TN",HTS,Owner,3576,3576,3576,9040,212,,Harriman,TN,37748,236 South Roane Street,,35.9268,-84.55877,,,,Retail,,
"Memphis, TN (3872)","Memphis, TN",HTS,Owner,3872,3872,3872,9040,212,,Memphis,TN,38111,2858 Poplar Ave,,35.134714,-89.965815,,,,Retail,,
"Collierville, TN (7491)","Collierville, TN",HTS,Owner,7491,7491,7491,9040,212,,Collierville,TN,38017,640 W Poplar Avenue,,35.047042,-89.683382,,1/9/2016,,Retail,,
"Crossville, TN (5588)","Crossville, TN",HTS,Owner,5588,3176,5588,9040,212,,Crossville,TN,38555,1860 N Main Street,,35.972648,-85.037341,,1/28/2002,,Retail,,
"McMinnville, TN (5916)","McMinnville, TN",HTS,Owner,5916,3546,5916,9040,212,,McMinnville,TN,37110,231 Northgate Drive,#250,35.70007,-85.783809,,10/31/2004,,Retail,,
"Tullahoma, TN (5919)","Tullahoma, TN",HTS,Owner,5919,3556,5919,9040,212,,Tullahoma,TN,37388,1420 Cedar Lane,,35.377456,-86.23271,,4/30/2017,,Retail,,
"Franklin, TN (6257)","Franklin, TN",HTS,Owner,6257,6257,6257,9042,212,,Franklin,TN,37067,1415 Liberty Pike,,35.923261,-86.795184,,,,Retail,,
"HOFFMAN ESTATES, IL (3625)","HOFFMAN ESTATES, IL",HTS,Company,3625,3625,3625,9042,363,,HOFFMAN ESTATES,IL,60179,3333 BEVERLY ROAD,5500 Trillium Blvd,,,,,,Retail,,
"Easton, MD (5815)","Easton, MD",HTS,Owner,5815,3353,5815,9040,363,,Easton,MD,21601,219 Marlboro Avenue,,38.782936,-76.080458,,3/2/2014,,Retail,,
"Chester, MD (5835)","Chester, MD",HTS,Owner,5835,3394,5835,9040,363,,Chester,MD,21619,1521 Postal Road,Suite 126,38.975486,-76.288265,,5/31/2015,,Retail,,
"N CAPE MAY, NJ (3073)","N CAPE MAY, NJ",HTS,Owner,3073,3073,3073,9040,363,,N CAPE MAY,NJ,08204,3845 BAYSHORE RD,,38.975267,-74.942588,,3/1/2017,,Retail,,
"Elkins, WV (3114)","Elkins, WV",HTS,Owner,3114,3114,3114,9040,363,,Elkins,WV,26241,1611 Harrison Avenue,,38.933931,-79.870933,,8/29/1999,,Retail,,
"Chestertown, MD (3123)","Chestertown, MD",HTS,Owner,3123,3123,3123,9040,363,,Chestertown,MD,21620,19 Washington Square,,39.230421,-76.069888,,,,Retail,,
"Prince Frederick, MD (3323)","Prince Frederick, MD",HTS,Owner,3323,3323,3323,9040,363,,Prince Frederick,MD,20678,255 Solomons Island Road,,38.534537,-76.585935,,11/13/2011,,Retail,,
"Elizabeth City, NC (5701)","Elizabeth City, NC",HTS,Owner,5701,3216,5701,9040,363,,Elizabeth City,NC,27909,1503 West Ehringhaus Street,,36.292845,-76.243715,,5/3/2015,,Retail,,
"Franklin, VA (6846)","Franklin, VA",HTS,Owner,6846,6846,6846,9040,363,,Franklin,VA,23851,1317 Armory Drive,,36.670014,-76.945013,,2/14/2016,,Retail,,
"Seaford, DE (2157)","Seaford, DE",HTS,Owner,2157,2157,2157,9040,363,,Seaford,DE,19973,23392 Sussex Highway,,38.657194,-75.595101,,,,Retail,,
"Milford, DE (6979)","Milford, DE",HTS,Owner,6979,6979,6979,9040,363,,Milford,DE,19963,656A North DuPont Highway,,38.91679,-75.439797,,2/26/2012,,Retail,,
"Kilmarnock, VA (7102)","Kilmarnock, VA",HTS,Owner,7102,5695,7102,9040,363,,Kilmarnock,VA,22482,412 N Main Street,,37.719608,-76.387728,,7/13/2014,,Retail,,
"WILLIAMSBURG, VA (7199)","WILLIAMSBURG, VA",HTS,Owner,7199,7199,7199,9042,363,,WILLIAMSBURG,VA,23188,6623 RICHMOND ROAD,,37.345285,-76.760711,,,,Retail,,
"Hendersonville, NC (3969)","Hendersonville, NC",HTS,Transition,3969,3969,3969,9040,369,,Hendersonville,NC,28792,1800 Four Seasons Boulevard,Suite F-18,35.334618,-82.446166,,7/5/2017,,Retail,,
"Carrollton, GA (5893)","Carrollton, GA",HTS,Owner,5893,3515,5893,9040,395,,Carrollton,GA,30117,1202 South Park Street,,33.556084,-85.071629,,5/19/2013,,Retail,,
"Blairsville, GA (8011)","Blairsville, GA",HTS,Owner,8011,3896,8011,9040,369,,Blairsville,GA,30512,60 Sears Way,,34.866904,-83.965947,,10/28/2001,,Retail,,
"Seneca, SC (3055)","Seneca, SC",HTS,Owner,3055,3055,3055,9040,369,,Seneca,SC,29678,366 Market Street,,34.688982,-82.992816,,7/31/2011,,Retail,,
"Fort Payne, AL (3125)","Fort Payne, AL",HTS,Owner,3125,3125,3125,9040,395,,Fort Payne,AL,35967,2630 Alabama Avenue NW,,34.469696,-85.701259,,10/9/2016,,Retail,,
"Canton, GA (3321)","Canton, GA",HTS,Owner,3321,3321,3321,9040,369,,Canton,GA,30114,110 Bluffs Parkway,,34.257187,-84.474328,,5/4/2014,,Retail,,
"East Ellijay, GA (3635)","East Ellijay, GA",HTS,Owner,3635,3635,3635,9040,369,,East Ellijay,GA,30539,67 Fowler Street,,34.683335,-84.475564,,,,Retail,,
"Calhoun, GA (3856)","Calhoun, GA",HTS,Owner,3856,3856,3856,9040,369,,Calhoun,GA,30701,1290 Curtis Parkway,,34.475571,-84.921882,,10/6/2013,,Retail,,
